folio,folio_agencia,referencia,auth,reserva,vendedor,concepto,pago_directo,pago_proveedor,pago_file,fecha,fecha_registro,cuenta_proceso,usuario_proceso,fecha_proceso,hora_proceso,monto,moneda,tipo_cambio,monto_recibido,cliente,forma_pago,banco,tarjeta,observaciones,serie_factura,folio_factura,cancelado,fecha_cancelacion,usuario_cancela,motivo_cancelacion,enviado,tiene_anexo,monedero,monto_monedero,folio_monedero,paypal,conekta,webpay,pol_vigencia,link_pago,pol_intento,pol_pagado,pol_fecha_pago,pol_codigo_auth,pol_tarjeta,pol_detalle_pago,pol_notas,pol_correo_enviado,token_pago
1303848,1,,,1,DEMO,"Pago vuelos",0,0,0,2024-09-19,2024-09-19,80W66F5A,DEMO,2024-09-19,12:22,283.02,USD,1.06,300.00,370757,EFE,,,demo,,0,1,2024-09-19,mkosberg,"PRUEBA - AR",0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1305323,2,"COBRADO - AR",,2,DianaM,"Hospedaje SKI USA",0,0,0,2024-09-20,2024-09-20,80W66F5A,AriadnaR,2024-09-20,14:43,4300.00,USD,1.00,4300.00,371219,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1310949,3,"COBRADO - SQUARE",,6,DianaM,"Pago de servicios Italia",0,0,0,2024-09-26,2024-09-27,80W66F5A,AriadnaR,2025-06-08,19:50,434.77,USD,19.90,8652.00,371528,0R2,,,,,0,1,2025-06-08,AriadnaR,"SE SUSTITUYE POR EL RECIBO No. 744 - AR",0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1317846,4,,,8,DianaM,"Abono al viaje para pagos de hotel",0,0,0,2024-10-07,2024-10-07,,,0000-00-00,,18000.00,EUR,1.00,18000.00,373588,HHW,,,,,0,1,2024-10-08,AriadnaR,"ERROR EN MONEDA, SEGENRA NUEVO RECIBO - AR",0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1317850,5,,,8,DianaM,"Abono al viaje para pagos de hotel",0,0,0,2024-10-02,2024-10-07,,,0000-00-00,,835.27,MXN,21.55,18000.00,373588,HHW,,,,,0,1,2024-10-07,AriadnaR,"ERROR EN MONEDA, SE GENERA NUEVO RECIBO - AR",0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1317851,6,"COBRADO - EFECTIVO",,8,DianaM,"Abono al viaje para pagos de hotel",0,0,0,2024-10-04,2024-10-07,X40DP1R7,AriadnaR,2024-10-25,01:10,928.07,MXN,21.55,20000.00,373588,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1317852,7,"COBRADO - EFECTIVO",,8,DianaM,"Abono al viaje para pagos de hotel",0,0,0,2024-10-04,2024-10-07,X40DP1R7,AriadnaR,2024-10-25,01:11,1392.11,MXN,21.55,30000.00,373588,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1318802,8,"COBRADO - EFECTIVO",,8,DianaM,"Abono al viaje para pagos de hotel",0,0,0,2024-10-02,2024-10-08,X40DP1R7,AriadnaR,2024-10-25,01:11,835.27,MXN,21.55,18000.00,373588,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1318871,9,"COBRADO - CIBANCO MXN",Pablo,9,DianaM,"Pago de servicios",0,0,0,2024-10-16,2024-10-08,X40DP1R7,PabloE,2025-03-20,07:40,11112.98,MXN,19.65,218370.00,373952,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1318873,10,"COBRADO - CIBANCO MXN",,9,DianaM,"Pago de servicios",0,0,0,2024-10-16,2024-10-08,X40DP1R7,PabloE,2025-03-20,07:49,11195.93,MXN,19.65,220000.00,373952,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
